"year","workstat","prestige","income","region","attend","owngun","tvhours","mothfath16","black","female","unem10","DivWid","kids","vhappy"
"1994","keeping house",46,"$10000 - 14999","middle atlantic",6,"NA",2,TRUE,TRUE,TRUE,"yes","NA",5,"no"
"1994","working fulltime",22,"$25000 or more","middle atlantic",52,"NA",3,FALSE,TRUE,FALSE,"no","no",0,"yes"
"1994","working fulltime",29,"$15000 - 19999","middle atlantic",104,"iap",1,FALSE,TRUE,TRUE,"NA","no",0,"no"
"1994","working fulltime",42,"$15000 - 19999","middle atlantic",1,"NA",3,FALSE,FALSE,FALSE,"yes","yes",0,"no"
"1994","working parttime",36,"$10000 - 14999","middle atlantic",1,"iap",6,FALSE,TRUE,TRUE,"no","NA",2,"no"
"1994","working parttime",43,"$25000 or more","middle atlantic",6,"iap",0,FALSE,TRUE,TRUE,"NA","NA",0,"no"
"1994","working fulltime",20,"$20000 - 24999","middle atlantic",104,"iap",10,TRUE,FALSE,TRUE,"NA","NA",2,"no"
"1994","working fulltime",44,"$10000 - 14999","middle atlantic",104,"NA",4,TRUE,TRUE,FALSE,"no","NA",0,"yes"
"1994","working fulltime",42,"$25000 or more","middle atlantic",6,"iap",2,FALSE,TRUE,TRUE,"NA","NA",3,"no"
"1994","working fulltime",46,"$15000 - 19999","middle atlantic",104,"iap",4,TRUE,TRUE,TRUE,"yes","NA",1,"no"
"1994","working fulltime",75,"$25000 or more","middle atlantic",1,"NA",2,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","working fulltime",51,"$25000 or more","middle atlantic",6,"NA",2,TRUE,FALSE,FALSE,"no","no",0,"yes"
"1994","working fulltime",50,"$25000 or more","middle atlantic",52,"iap",1.2,TRUE,FALSE,FALSE,"no","no",0,"yes"
"1994","working fulltime",73,"$25000 or more","middle atlantic",12,"iap",1,TRUE,FALSE,FALSE,"NA","NA",0,"no"
"1994","working fulltime",41,"$25000 or more","middle atlantic",1,"iap",1,TRUE,FALSE,TRUE,"NA","NA",0,"no"
